Code,Description,Department,Medport / DMA,STANDARD,PROMPT PAY,Medicare,Medicaid,BCBS ,UHC,Aetna,Cigna ,Gilsbar ,Humana MCR Rpl.,Bourgeois,Baywater,Meritain,WEB TPA
EMG Bil,EMG Bilateral Extremities,,,1668,977.15,426.79,287.89,504.1,743.67,743.67,396.63,432.72,524.6,,,,
EMG Uni,EMG Unilateral Extremities,,0,1080,612.7,276.76,179.05,328.04,462.92,238.98,211.56,9824.95,341.46,0,0,381.83,0
99204,Office visit; new patient; level 4,Physician Services,,635,349.25,160.84,96.56,162.92,213.62,176.58,168.9,158.86,199.66,,,,
99205,Office visit; new patient; level 5,Physician Services,1500,805,442.75,202.95,122.19,205.75,271.49,219.39,209.85,201,252.15,,,,
99214,Office visit; established patient; level 4,Physician Services,,415,228.25,104.3,62.65,105.74,128.69,114.45,74.36,103.06,129.59,,,,
99215,Office visit; established patient; level 5,Physician Services,750,560,308,141.19,84.93,142.93,187.31,,146.87,139.72,175.16,,,,
99244,Office consultation for a new or established patient; Level 4,Physician Services,,420,231,0,0,182.11,269.3,,183.48,210.22,223.18,,,,221.98
99245,Office consultation for a new or established patient; Level 5,Physician Services,,648,345.4,0,0,222.37,347.66,245.09,224.66,258.67,272.51,,,,
95938,SSEP,EEG,,1236,871.9,317.33,188.42,375.43,288.77,,369.99,367.77,391.08,,,,
92653,BAER,EMG,,602,331.1,125.1,64.33,174.16,159.15,,116.88,125.57,155.5,,,,
95930,VEP,EMG,,468,468,64.87,65.63,141.92,103.12,225.51,181.87,128.09,147.84,,,,
95813,EEG Greater than one hour,EEG,,2024,1322,375.51,187.01,450,395.01,,579.46,365.02,468.75,,,,
95816,EEG including recording awake and drowsy,EEG,,1500,910,335.26,139.29,396.5,252.9,,460.98,233.04,413.03,,,,
93306,ECHO,Ultrasound/Other,,1036,569.8,196.56,172.76,359.36,429.68,,,445.61,196.76,,,,
93880,Carotid Ultrasound,Ultrasound/Other,1250,840,498.6,189.79,158.59,242.67,301.46,253.29,,255.13,174.79,,,253.29,
93886,TCD complete study,Ultrasound/TCD,1750,1348,941.1,253.03,190.81,321.72,384.84,280.07,388.24,279.54,232.76,,,,
93890,TCD VMR,Ultrasound/TCD,,,,259.14,201.93,327.17,369.7,,,,236.42,,,,
93892,TCD Emboli,Ultrasound/TCD,,1232,860.26,297.45,184.42,208.25,393.34,,,218.6,147.95,,,,
93893,TCD Bubble,Ultrasound/TCD,,1264,890.34,321.81,183.97,207.53,386,220.78,369.29,219.08,147.65,,,,
70544,MRA head without contrast,Radiology,,1400,840,302.22,,352.03,776.4,,,492.21,244.35,,,,
70548,MRA neck with contrast,Radiology,,2100,1260,332.72,,398.86,776.4,,,586.31,277.6,,,,
70551,MRI Brain without contrast material,Radiology,,1400,840,216.3,,289.67,800.26,,,511.43,198.89,,,,
70552,MRI Brain with contrast material,Radiology,,2100,1260,298.53,,400.07,960.48,622.16,,625.32,275.77,,,,
70553,MRI Brain without and with Contrast,Radiology,,2100,1260,352.99,,473.33,1701.17,730.42,536.32,795.35,325.18,,,,
70543,MRI Orbits without and with contrast,Radiology,, ,,375.62,,519.29,1646.9,,,781.47,358.74,,,,
72141,MRI cervical without contrast,Radiology,,1400,840,210.55,,282.1,809.68,494.44,,518.59,570.82,,,,
72146,MRI thoracic without contrast,Radiology,,1400,840,210.87,,282.51,882.82,,,519.03,193.71,,,,
72147,MRI thoracic with contrast,Radiology,,2100,1260,301.72,,403.5,972.4,,,634.74,278.21,,,,
72148,MRI lumbar without contrast,Radiology,,1400,840,210.55,,281.23,873.97,487.32,357.82,511.06,590.87,,,,
72149,MRI lumbar with contrast,Radiology,,2100,1260,300.24,,401.94,961.78,,,625.32,276.99,,,,
